Designator,Mid X,Mid Y,Rotation,Layer
C1,97.75,-98.725,90.0,top
C10,58.185,-100.43,0.0,top
C11,62.0,-103.775,90.0,top
C12,75.0,-103.95,90.0,top
C13,85.5,-108.725,90.0,top
C14,100.5,-103.95,90.0,top
C15,82.725,-87.225,180.0,top
C16,82.55,-89.5,180.0,top
C17,60.5,-80.225,90.0,top
C18,58.5,-80.45,90.0,top
C2,100.25,-94.775,270.0,top
C3,100.25,-98.45,90.0,top
C4,97.75,-95.55,270.0,top
C5,75.0,-107.55,270.0,top
C9,58.01,-102.43,0.0,top
H1,81.5,-82.5,0.0,top
H2,56.5,-106.5,0.0,top
J1,94.0,-107.5,0.0,top
J2,68.5,-107.5,0.0,top
J3,93.93,-88.795,180.0,top
J4,68.43,-88.795,180.0,top
J5,54.46,-94.18,270.0,top
R10,97.675,-101.5,0.0,top
R11,80.175,-109.0,180.0,top
R5,58.135,-87.93,0.0,top
R6,58.135,-85.93,0.0,top
R7,64.825,-101.5,180.0,top
R8,72.175,-101.5,0.0,top
R9,90.175,-101.5,180.0,top
U1,81.0,-96.5,180.0,top
Y1,84.15,-102.5,180.0,top
